City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
59,Palimbang,PH,6.2106,124.1894,85.57,67,31,3.04,scattered clouds,2021-11-01 01:28:51
60,Cabra,ES,37.4725,-4.4421,67.39,88,100,12.12,overcast clouds,2021-11-01 01:28:51
61,Chuy,UY,-33.6971,-53.4616,63.7,97,95,8.01,light rain,2021-11-01 01:28:51
62,Hermanus,ZA,-34.4187,19.2345,61.81,81,100,10.8,overcast clouds,2021-11-01 01:28:52
63,Khatanga,RU,71.9667,102.5,5.4,96,100,11.9,light snow,2021-11-01 01:28:52
64,Huarmey,PE,-10.0681,-78.1522,65.16,81,8,8.1,clear sky,2021-11-01 01:28:52
65,Sal Rei,CV,16.1833,-22.9167,79.36,79,100,17.16,overcast clouds,2021-11-01 01:28:53
66,Selm,DE,51.7,7.4667,51.67,92,100,11.43,overcast clouds,2021-11-01 01:28:53
67,Havelock,US,34.8791,-76.9013,64.35,90,1,4.61,clear sky,2021-11-01 01:28:53
68,Bonavista,CA,48.6499,-53.1147,46.11,91,98,13.8,overcast clouds,2021-11-01 01:28:54
69,Mount Darwin,ZW,-16.7725,31.5838,71.28,50,50,6.46,scattered clouds,2021-11-01 01:28:54
70,Luwuk,ID,-0.9516,122.7875,85.32,69,24,2.51,few clouds,2021-11-01 01:28:54
71,Izumo,JP,35.3667,132.7667,64.29,77,40,1.14,scattered clouds,2021-11-01 01:28:55
72,Atar,MR,20.5169,-13.0499,80.6,20,0,5.17,clear sky,2021-11-01 01:28:55
73,Cabo San Lucas,MX,22.8909,-109.9124,81.7,77,75,5.01,broken clouds,2021-11-01 01:28:55
74,New Norfolk,AU,-42.7826,147.0587,65.66,49,100,5.01,overcast clouds,2021-11-01 01:28:56
75,Shingu,JP,33.7333,135.9833,70.79,64,47,3.91,scattered clouds,2021-11-01 01:25:11
76,Rapid Valley,US,44.0625,-103.1463,37.45,60,90,3.44,overcast clouds,2021-11-01 01:28:56
77,Hilo,US,19.7297,-155.09,80.33,78,40,9.22,scattered clouds,2021-11-01 01:28:56
78,Bathsheba,BB,13.2167,-59.5167,75.81,88,75,17.27,broken clouds,2021-11-01 01:28:57
79,Kargasok,RU,59.0556,80.8572,11.32,88,99,8.46,overcast clouds,2021-11-01 01:28:57
80,Torbay,CA,47.6666,-52.7314,45.57,93,75,17.27,broken clouds,2021-11-01 01:28:57
81,Tiksi,RU,71.6872,128.8694,11.88,83,100,11.36,overcast clouds,2021-11-01 01:28:57
82,Ancud,CL,-41.8697,-73.8203,58.53,82,0,7.78,clear sky,2021-11-01 01:28:58
83,Dongsheng,CN,39.8161,109.9776,37.47,40,0,6.15,clear sky,2021-11-01 01:28:58
84,Flong,DK,55.6621,12.187,56.89,84,75,12.66,broken clouds,2021-11-01 01:28:58
85,Te Anau,NZ,-45.4167,167.7167,54.48,69,100,7.74,overcast clouds,2021-11-01 01:28:59
86,Zhangye,CN,38.9342,100.4517,44.51,36,96,1.03,overcast clouds,2021-11-01 01:28:59
87,Port Alfred,ZA,-33.5906,26.891,66.06,81,100,15.08,overcast clouds,2021-11-01 01:25:38
88,Morgan City,US,29.6994,-91.2068,64.0,73,0,1.52,clear sky,2021-11-01 01:28:59
89,Coihaique,CL,-45.5752,-72.0662,53.55,54,0,0.0,clear sky,2021-11-01 01:25:59
90,San Patricio,US,28.017,-97.5169,77.09,58,0,9.28,clear sky,2021-11-01 01:29:00
91,Saldanha,ZA,-33.0117,17.9442,62.65,76,100,11.32,light rain,2021-11-01 01:29:00
92,Ibra,OM,22.6906,58.5334,75.4,23,0,7.16,clear sky,2021-11-01 01:30:00
93,Lebu,CL,-37.6167,-73.65,50.4,94,50,5.41,scattered clouds,2021-11-01 01:30:01
94,Broome,US,42.2506,-75.833,52.92,78,40,3.0,scattered clouds,2021-11-01 01:30:02
95,Esperance,AU,-33.8667,121.9,67.84,55,100,16.64,overcast clouds,2021-11-01 01:30:02
96,Padang,ID,-0.9492,100.3543,80.65,84,100,2.57,overcast clouds,2021-11-01 01:30:03
97,Port Elizabeth,ZA,-33.918,25.5701,64.09,100,75,17.27,mist,2021-11-01 01:25:05
98,Hithadhoo,MV,-0.6,73.0833,81.64,77,99,19.77,overcast clouds,2021-11-01 01:30:04
99,Fairbanks,US,64.8378,-147.7164,44.94,49,20,6.91,few clouds,2021-11-01 01:28:48
100,Crixas,BR,-14.5489,-49.9692,73.63,80,31,4.9,scattered clouds,2021-11-01 01:30:05
101,Ammon,US,43.4696,-111.9666,51.85,76,75,3.44,broken clouds,2021-11-01 01:30:06
102,Hailin,CN,44.5833,129.4167,42.22,52,97,4.54,overcast clouds,2021-11-01 01:30:06
103,Nata,PA,8.3333,-80.5167,76.87,92,100,3.11,overcast clouds,2021-11-01 01:30:07
104,Marrakesh,MA,31.6315,-8.0083,62.67,67,18,4.61,few clouds,2021-11-01 01:29:14
105,Mount Isa,AU,-20.7333,139.5,92.97,33,12,16.11,few clouds,2021-11-01 01:30:08
106,Cedar City,US,37.6775,-113.0619,56.37,40,1,12.66,clear sky,2021-11-01 01:30:09
107,Ekhabi,RU,53.5102,142.9671,32.41,51,7,9.22,clear sky,2021-11-01 01:30:09
108,Malanje,AO,-9.5402,16.341,64.13,97,100,2.51,light rain,2021-11-01 01:30:10
